,Name,Type,City,Associated Entity,Associated Terms
278,John Peters,Person,Burbank,Peters Entertainment,
279,Lauren Petrella,Person,Willowick,,
280,Caryl Philips,Person,Dayton,,
281,Pierre Hotel,Entity,New York,,
282,PILOT INFORMATION,Miscellaneous,,,
283,Sue-Ann Pisack,Person,New York,,
284,Stuart Pivar,Person,New York,,
285,Suzanne Ponsot,Person,New York,American Friends of Israel,Executive Director
286,Gene Pressman,Person,Larchmont,Barney's of New York,
287,Kim Price,Person,Alexandria,Barrueta,
288,Paul Prosperi,Person,Palm Beach,Algoa Deny,
289,George Pryor,Person,New Albany,First Intercontinental Realty,
290,Nina Pustilnik,Person,New York,First Boston,
291,Thomas H. Quinn,Person,Washington,O'Connor & Hannan,
292,Lewis S. Ranieri,Person,Merrick,"Ranieri & Co., Inc.",
293,Steven Rattner,Person,New York,,
294,Marty Raynes,Person,New York,M.J. Raynes,
295,Patty Raynes,Person,,,
296,Ed Razek,Person,Galena,,
297,Nick Ribis,Person,New York,Trump Organization,
298,Joan Rivers,Person,New York,,
299,Jacque Robertson,Person,New York,Cooper Robertson & Partners,
300,David Rockefeller,Person,New York,Rockefeller Financial Service,
301,Dave Rodgers,Person,Lake Worth,,
302,Marshall Rose,Person,New York,Georgetown Group,
303,Henry Rosovsky,Person,Newton,Harvard University,Dean
304,David Ross,Person,New York,Whitney Museum of American Art,
305,Leonard Ross,Person,Beverly Hills,Rossco Holdings Incorporated,
306,David Roth,Person,,National Line,
307,Peter Thomas Roth,Person,New York,Karbra Co.,
308,Edmund Baron Rothschild,Person,Geneva,,
309,Edouard de Rothschild,Person,Paris,,
310,Celine Rousselet (Cazals),Person,Paris,,
311,Steve Ruchefsky,Person,,,
312,Bernard Sabrier,Person,Geneva,"Unigestion, S.A.",
313,Oliver Dr. Sacks,Person,New York,,
314,Elizabeth Schafer,Person,New York,,
315,Larry Schafran,Person,New York,L.G. Schafran & Partners,
316,Jeff Schantz,Person,North Woodmere,,
317,Douglas A Schoettle,Person,New York,,
318,Robert S. Schwartz,Person,Columbus,"Schwartz, Kelm, Warren & Rubenstein",
319,Claudia Scier,Person,New York,,
320,Kathryn Scott,Person,Arlington,Kathryn Scott Associates,
321,Joan Severance,Person,Studio City,,
322,Donald B. Shackelford,Person,Gahanna,State Savings Bank,
323,Rhonda Shearer,Person,New York,,wife of Jay Gould
324,Stanley Shopkorn,Person,New York,Ethos Capital,Managing General Ptn
325,William (Bill) Siegel,Person,New York,Chris-Craft Industries,
326,Bruce Slovin,Person,New York,MAC Andrews & Forbes Group Inc.,President
327,Dennis Smith,Person,Southampton,,
328,Richard Snyder,Person,New York,,
329,Laura Yorke Snyder,Person,New York,,
330,Bruce Soll,Person,Columbus,"The Limited, Inc.",
331,Michael W. Sonnenfeldt,Person,Tenafly,"Emmes & Co., Inc.",
332,Sophie Van Hauen,Person,London,Charlotte Morgan,
333,Ellen Spencer,Person,Amelia Island,,
334,Bob Starodoj,Person,Aspen,Mason & Morse Real Estate,
335,John Stefanidis,Person,London,,
336,Saul Steinberg,Person,New York,Reliance Group Holding Inc.,Chairman
337,Pamela Stephens,Person,Columbus,,
338,Michael Stevens,Person,St. Tropez,,
339,Nina Stevens,Person,St. Tropez,,
340,Linda Stone,Person,,Microsoft,
341,Craig Tafoya,Person,Davie,Limitless,
342,Felicia Taylor,Person,New York,CNBC,
343,Elizabeth Tepper,Person,New York,ABB Service Worldwide,
344,Allan R. Tessler,Person,Teton Village,International Financial Group,
345,Susan Thomases,Person,New York,Wilkie Farr & Gallagher,
346,Lenny Toboroff,Person,New York,Riddell,
347,Cathy Tolbert,Person,New York,,
348,Trilaterial Commission,Entity,New York,,
349,Donald Trump,Person,New York,The Trump Organization,
350,Marty Trust,Person,Manchester,"Mast Industries, Inc.",
351,Steve Tuckerman,Person,Columbus,Tuckerman Optical Co.,
352,Christy Turlington,Person,Los Angeles,,
353,Tony Valukas,Person,Chicago,Jenner & Block,
354,John Viggiano,Person,New York,Dignitary Protection,
355,Larry Visoski,Person,Boynton Beach,,
356,Linda Wachner,Person,New York,"Warnaco, Inc.",
357,William B. Wachtel,Person,New York,Gold & Wachtel,
358,Francis Wahl,Person,Geneva,,
359,Philipe Wahl,Person,Rome,DeDem Automatica,
360,Ric Wanetik,Person,Columbus,Ric Wanetik & Associates,
361,CC Wang,Person,New York,U.S. Summit Corp.,
362,Vera Wang Becker,Person,New York,"Vera Wang Bridal House, Ltd.",
363,Sandy Warner,Person,New York,J.P. Morgan,
364,Patsy Warner,Person,New York,,
365,Bob Wesselman,Person,Worthington,NA Country Club,
366,Bella Wexner,Person,Columbus,,
367,Les Wexner,Person,London,"The Limited, Inc.",
368,White House,Entity,Washington,,
369,Amber Williamson,Person,Santa Monica,,
370,Tobie Wood,Person,Beverly Hills,,
371,Fred Yaffe,Person,Bloomfield Hills,Yaffe & Co.,
372,Dimitri Yugoslavie,Person,New York,Sotheby's,
373,Barry Zelin,Person,New York,Gruntal,
374,Ira Zicherman,Person,Brooklyn,Bear Stearns,
375,Mort Zucherman,Person,New York,Boston Properties,
376,,,,,
377,Abby,Person,,,
378,John Agnew,Person,London,,
379,Joanna Abousleiman,Person,,,
380,Nick Adam,Person,Paris,,
381,Rufus Albermarle,Person,New York,,
382,Sally Albermarle,Person,New York,,
383,Saffron Aldridge,Person,London,,
384,Charlie Althorp,Person,,,
385,Marie Claire Agnew,Person,London,,
386,Paul Allan,Person,,,
387,Alejandro Agag,Person,,,
388,Giacomo Algranti,Person,London,,
389,Pam Alexander,Person,,,
390,Nick Allan,Person,Hong Kong,,
391,Sarah Allan,Person,Hong Kong,,
392,Carella Alun-Jones,Person,London,,
393,Deborah Alun-Jones,Person,West Sussex,,
394,Jeremy Alun-Jones,Person,West Sussex,,
395,Maurice Amon,Person,New York,,
396,Roberta Amon,Person,New York,,
397,Philippe Amon,Person,Aubonne,,
398,Philippe Amon,Person,Aubonne,,
399,Lisa Anastos,Person,New York,,
400,Lulu Anderson,Person,,,
401,Alex Appleby,Person,London,,
402,Robert Appleby,Person,London,,
403,Maite Arango,Person,Madrid,,
404,Vicente Alvarez,Person,,,
405,Viscount William Astor,Person,,,
406,Jose Aznar,Person,New York,S&S Capital,
407,Victor Arellano,Person,London,,
408,Herve Aron,Person,New York,,
409,Marine Aron,Person,New York,,
410,Lorinda Ash,Person,New York,,
411,Ari Ashley,Person,London,,
412,Nick Ashley,Person,London,,
413,Charlotte Assaf,Person,New York,,
414,Vittorio Assaf,Person,New York,,
415,Helene Atkin,Person,San Francisco,,
416,Mike Atkin,Person,Hoboken,,
417,Ami Atkin,Person,Hoboken,,
418,Jean Baddeley,Person,Malaga,,
419,Peter Bahrke,Person,,,
420,Danny Baker,Person,,,
421,Shariar Bakhtiar,Person,,,
422,Joaquin Fernandez de Arion,Person,Madrid,,
423,Simon Astaire,Person,London,,
424,Fernando Arion,Person,New York,,
425,Arthur Armstrong,Person,,,
426,Cathy Armstrong,Person,,,
427,"Balliol College, Oxford",Entity,Oxford,,
428,Lady Carole Bamford,Person,,,
429,Sir Anthony Bamford,Person,,,
430,Doug Band,Person,New York,Office of William J. Clinton,
431,Alice Bamford,Person,Gloucestershire,Daylesford House,
432,George Bamford,Person,Gloucestershire,Daylesford House,
433,Clive Bannister,Person,London,HSBC Investment Bank,
434,Javier Banon,Person,New York,IFB International Finance Bank,
435,André Balazs,Person,New York,The Mercer,
436,Gretal Barham,Person,London,,
437,Nicholas Barham,Person,London,,
438,Peter Barnes,Person,,,
439,Craig Barnett,Person,New York,,
440,Hillary Batstone,Person,London,,
441,Alec Baldwin,Person,New York,,
442,Countess Debonnaire Von Bismarck,Person,London,,
443,"Nikolai ""Bola"" Von Bismarck",Person,London,,
444,Nicolas Berggruen,Person,New York,Alpha Investment Management,
445,Jean Paul Bjorlin,Person,,Juilliard School,
446,Bill Berkman,Person,New York,The Associated Group,
447,Natasha Batstone,Person,,,
448,Tim Batstone,Person,,,
449,Lorenzo Baumer,Person,,,
450,Lady Beaumont,Person,London,,
451,Lord Beaumont,Person,London,,
452,Tamara Beckwith,Person,,,
453,Lisa Beizberg,Person,New York,,
454,Steven Benson,Person,,,
455,Baron Bentinck,Person,Essex,,
456,Tara Bernard,Person,,,
457,Martyn Birchall,Person,New York,,
458,Robin Birley,Person,London,,
459,Jean Marc Bisson,Person,,,
460,Vanessa Von Bismark,Person,New York,,
461,Michael Bloomberg,Person,New York,,
462,Daniel Bodini,Person,New York,American Properties,
463,Barbara Black,Person,New York,Hollinger International,
464,Conrad Black,Person,New York,Hollinger International,
465,Lauren Booth,Person,London,NetJets,
466,Mark Booth,Person,London,NetJets,
467,David Blaine,Person,,,
468,Tony Blair,Person,,,
469,Samantha Boardman,Person,,,
470,Serena Boardman,Person,,,
471,Johnie Boden,Person,London,,
472,Sophie Boden,Person,London,,
473,Anabelle Bond,Person,,,
474,Andrea Bonomi,Person,Milan,,
475,Giola Bonomi,Person,Milan,,
476,Nicholas Bookis,Person,,,
477,Christina A. Boothe,Person,,,
478,Paulo Borgese,Person,,,
479,Edward de Boisgelin,Person,London,,
480,Blogs Blacker,Person,Liss,,
481,Jill Blacker,Person,Liss,,
482,Flavio Briatore,Person,Oxfordshire,,
483,Hon. Bruce Bossom,Person,London,,
484,Princess Georgina Brandolini d'Adda,Person,Paris,,
485,Tiberto Brandolini d'Adda,Person,Paris,Exor Group,
486,Tony Brand,Person,,Plein Sud,
487,Michael Borrico,Person,New York,Certified Contracting Inc.,
488,Julia Broadhurst,Person,Cape Town,Speedo,
489,Hamish Bowles,Person,,Vogue,
490,Sylvianne Boucherie,Person,Paris,,
491,Rick Bourke,Person,Greenwich,,
492,Hugo Brachetti,Person,,,
493,Ferdinando Brachetti Peretti,Person,Rome,,
494,Caroline Braine,Person,,,
495,Ben Bram,Person,,,
496,Peter Brandt,Person,,,
497,Richard Branson,Person,London,,
498,Penelope Bossom,Person,London,,
499,Katie Braine,Person,London,,
500,Serge Braine,Person,London,,
501,Nuno Brandolini,Person,New York,,
502,Muriel Brandolini,Person,New York,,
503,Jean-Luc Brunel,Person,Paris,Karin Models,
504,Edgar Bronfman Bronfman Jr.,Person,New York,"Lexa Partners, LLC",
505,Jules Burney,Person,London,,
506,Bartle Bull,Person,New York,"Jones, Hirsch, Connors & Bull",
507,Jimmy Buffet,Person,Palm Beach,,
508,Jane Buffet,Person,Palm Beach,,
509,Louis Albert de Broglie,Person,,,
510,Miranda Brooks,Person,New York,,
511,Chris Brown,Person,New York,,
512,Alison Brown,Person,New York,,
513,Tania Bryer,Person,London,,
514,Ron Burckle,Person,Los Angeles,,
515,Martin Burtril,Person,,,
516,Candice Bushnell,Person,,,
517,Joan Juliet Buck,Person,,,
518,Hamish Bullough,Person,Suffolk,,
519,Emma Bullough,Person,Suffolk,,
520,James Bruce,Person,London,,
521,Lucinda Bruce,Person,London,,
522,Nicholas A C Candy,Person,London,Candy and Candy Ltd,
523,Terri Button,Person,London,Visa International,
524,"Arpad ""Arki"" Busson",Person,New York,,
525,Charlie Butter,Person,London,,
526,Robert Byng,Person,London,,
527,Jason Calacanis,Person,New York,,
528,Alistar Cambell,Person,London,,
529,Giancarlo Camerana,Person,,,
530,Cammy,Person,,,
531,Naomi Campbell,Person,London,,
532,Andrew de Candole,Person,London,,
533,Mario Calvo-Platero,Person,New York,,
534,Ariadne Calvo-Platero,Person,New York,,
535,Roddy Campbell,Person,,,
536,Emilio del Campo,Person,London,,
537,Brooke del Campo,Person,London,,
538,Dr. Mark Cecil,Person,London,,
539,Fabrizio Cerina,Person,Lugano,Credit des Alpes,
540,Caprice,Person,,,
541,Camila Carlbom,Person,New York,,
542,Carmine,Person,,,
543,Gian Carlo Cerutti,Person,Casale Monferrato,,
544,Barbara Carrera,Person,,,
545,Guido Casagrande,Person,Milan,,
546,Simon Case,Person,,,
547,Debbie Castaneda,Person,,,
548,Sara Carello,Person,,,
549,Massimo Carello,Person,,,
550,Aurelia Cecil Stephenson,Person,Ramsbury,,
551,William Carey,Person,London,,
552,Carina Carey,Person,London,,
553,Michel Carvalho,Person,London,,
554,Charlene Carvalho,Person,London,,
555,Mark Cecil,Person,Nairobi,,
556,Mini Cecil,Person,Nairobi,,
557,George Case,Person,London,,
558,Pauline Case,Person,London,,
559,Mandy Cochrane,Person,London,,
560,John Cleese,Person,,,
561,Alyce Faye Cleese,Person,,,
562,Vikram Chatwal,Person,New York,Hampshire Hotels & Resorts,
563,Larry Coben,Person,New York,Sunrise Capital Partners,
564,Linska Cierach,Person,London,The Studio,
565,Pietro  Cicognani,Person,New York,,
566,Alejandra Cicognani,Person,New York,,
567,Graham Clempson,Person,London,,
568,Emma Clempson,Person,London,,
569,John Chenevix-Trench,Person,London,,
570,John Chenevix-Trench,Person,London,,
571,Lucy Chenevix-Trench,Person,London,,
572,Lucy Chenevix-Trench,Person,London,,
573,Geoconda Cicogna,Person,London,,
574,Gianfranco Cicogna,Person,London,,
575,Gianluca Cicogna,Person,New York,,
576,Marina Cicogna,Person,Rome,,
577,Giuseppi Cipriani,Person,New York,,
578,Amadeo Claverino,Person,,,
579,Isabel Claverino,Person,,,
580,Lucy Clive,Person,London,,
581,Dalit Cohen,Person,London,,
582,Gustavo Cisneros,Person,New York,,
583,Patty Cisneros,Person,New York,,
584,Lady Marina Cowdray,Person,West Sussex,,
585,Peter Cohen,Person,Miami Beach,,
586,Jo Coleman,Person,New York,,
587,Jeffrey Colle,Person,,,
